element,reflect_loss,emissivity,loss_tan,opt_index,thickness,temperature
Pol_y/n,0.5,0,0,0,0,0
Signal_bolo_coupling,0.4,0,0,0,0,0.275
Camera lens,0.02,0,0.00005,3.4,0.02,1.5
Pupil_Lenses,0.02,0,0.00005,3.4,0.02,1.5
Stop,0,1,0,0,0,1.5
HWP_lens,0.02,0,0.0001,3.2,0.01,20
LPE2b_lens,0.02,0,0.0004,1.5,0.0015,7
Field_Lens,0.02,0,0.00005,3.4,0.02,9
Mirror,0,0.0004,0,0,0,10
LPE2_lens,0.02,0,0.0004,1.5,0.0014,20
LPE1_lens,0.02,0,0.0004,1.5,0.001,20
Alumina_filter_lens,0.02,0,0.0001,3.1,0.0016,40
Window_lens,0.02,0,0.0001,1.52,0.002,263
Mirror,0,0.0015,0,0,0,263
ATM,0,0,,,0,263
CMB,0,1,0,0,0,2.725
