Band,pixel,nu,nu_low,nu_high,width,D_px,number
1,A,20.8,18.2,23.4,5.2,,20
2,B,25,21.9,28.1,6.3,,20
3,C,30,26.3,33.8,7.5,,20
4,D,36,31.5,40.5,9,,40
5,E,43.2,37.8,48.6,10.8,,40
6,F,51.8,45.4,58.3,13,,40
7,G,62.2,54.4,70,15.6,,150
8,H,74.6,65.3,84,18.7,,150
9,I,89.6,78.4,100.8,22.4,,150
10,J,107.5,94.1,120.9,26.9,,180
11,K,129,112.9,145.1,32.2,,180
12,L,154.8,135.4,174.1,38.7,,180
13,M,185.8,162.5,209,46.4,,220
14,N,222.9,195,250.8,55.7,,220
15,O,267.5,234,300.9,66.9,,220
16,P,321,280.9,361.1,80.2,,170
17,Q,385.2,337,433.3,96.3,,170
18,R,462.2,404.4,520,115.6,,170
19,S,554.7,485.3,624,138.7,,120
20,T,665.6,582.4,748.8,166.4,,110
21,U,798.7,698.9,898.5,199.7,,100
