Band,pixel,nu,nu_low,nu_high,width,D_px,number
1, A,20.8,17.68,23.92,5.2,0.032788462,30
2, B,25,21.25,28.75,6.3,0.02728,35
3, C,30,25.5,34.5,7.5,0.022733333,40
4, D,36,30.6,41.4,9,0.018944444,45
5, E,43.2,36.72,49.68,10.8,0.015787037,50
6, F,51.8,44.03,59.57,13,0.013166023,55
7, G,62.2,52.87,71.53,15.6,0.01096463,160
8, H,74.6,63.41,85.79,18.7,0.009142091,175
9, I,89.6,76.16,103.04,22.4,0.007611607,200
10,J,107.5,91.375,123.625,26.9,0.006344186,230
11,K,129,109.65,148.35,32.2,0.005286822,270
12,L,154.8,131.58,178.02,38.7,0.0044,300
13,M,185.8,157.93,213.67,46.4,0.003670614,270
14,N,222.9,189.465,256.335,55.7,0.003059668,250
15,O,267.5,227.375,307.625,66.9,0.002549533,240
16,P,321,272.85,369.15,80.2,0.002124611,230
17,Q,385.2,327.42,442.98,96.3,0.001770509,210
18,R,462.2,392.87,531.53,115.6,0.001475552,180
19,S,554.7,471.495,637.905,138.7,0.001229493,110
20,T,665.6,565.76,765.44,166.4,0.001024639,100
21,U,798.7,678.895,918.505,199.7,0.000853888,90
