Band,pixel,nu,nu_low,nu_high,width,D_px,number
1,A,20,18.4,21.6,3.2,,65
2,A,24.3,22.356,26.244,3.888,,65
3,A,29.5245,27.16254,31.88646,4.72392,,65
4,B,35.8722675,33.0024861,38.7420489,5.7395628,,125
5,B,43.5848050125,40.0980206115,47.0715894135,6.973568802,,125
6,B,52.9555380902,48.719095043,57.1919811374,8.4728860944,,125
7,C,64.3409787796,59.1937004772,69.4882570819,10.2945566047,,450
8,C,78.1742892172,71.9203460798,84.4282323546,12.5078862748,,450
9,C,94.9817613989,87.383220487,102.5803023108,15.1970818238,,450
10,D,115.4028400996,106.1706128917,124.6350673076,18.4644544159,,550
11,D,140.2144507211,128.9972946634,151.4316067788,22.4343121154,,550
12,D,170.3605576261,156.731713016,183.9894022362,27.2576892202,,550
13,E,206.9880775157,190.4290313144,223.547123717,33.1180924025,,670
14,E,251.4905141816,231.3712730471,271.6097553161,40.2384822691,,670
15,E,305.5609747306,281.1160967522,330.0058527091,48.8897559569,,670
16,F,371.2565842977,341.5560575539,400.9571110415,59.4010534876,,520
17,F,451.0767499217,414.990609928,487.1628899154,72.1722799875,,520
18,F,548.0582511549,504.2135910625,591.9029112473,87.6893201848,,520
19,G,665.8907751532,612.6195131409,719.1620371654,106.5425240245,,120
20,H,809.0572918111,744.3327084662,873.781875156,129.4491666898,,110
