Band,pixel,nu,nu_low,nu_high,width,D_px,number
1,A,36,31.5,40.5,9,,110
2,B,43.2,37.8,48.6,10.8,,120
3,A,51.8,45.4,58.3,13,,110
4,B,62.2,54.4,70,15.6,,120
5,C,74.6,65.3,84,18.7,,175
6,D,89.6,78.4,100.8,22.4,,228
7,C,107.5,94.1,120.9,26.9,,175
8,D,129,112.9,145.1,32.2,,228
9,C,154.8,135.4,174.1,38.7,,175
10,D,185.8,162.5,209,46.4,,228
11,E,222.9,195,250.8,55.7,,165
12,F,267.5,234,300.9,66.9,,140
13,E,321,280.9,361.1,80.2,,165
14,F,385.2,337,433.3,96.3,,140
15,E,462.2,404.4,520,115.6,,165
16,F,554.7,485.3,624,138.7,,140
17,H,665.6,582.4,748.8,166.4,,80
18,I,798.7,698.9,898.5,199.7,,80
