Band,pixel,nu,nu_low,nu_high,width,D_px,number
1,A,20.8,18.2,23.4,5.2,0.032788462,30
2,B,25,21.9,28.1,6.3,0.02728,35
3,C,30,26.3,33.8,7.5,0.022733333,40
4,D,36,31.5,40.5,9,0.018944444,45
5,E,43.2,37.8,48.6,10.8,0.015787037,50
6,F,51.8,45.4,58.3,13,0.013166023,55
7,G,62.2,54.4,70,15.6,0.01096463,160
8,H,74.6,65.3,84,18.7,0.009142091,175
9,I,89.6,78.4,100.8,22.4,0.007611607,200
10,J,107.5,94.1,120.9,26.9,0.006344186,230
11,K,129,112.9,145.1,32.2,0.005286822,270
12,L,154.8,135.4,174.1,38.7,0.0044,300
13,M,185.8,162.5,209,46.4,0.003670614,270
14,N,222.9,195,250.8,55.7,0.003059668,250
15,O,267.5,234,300.9,66.9,0.002549533,240
16,P,321,280.9,361.1,80.2,0.002124611,230
17,Q,385.2,337,433.3,96.3,0.001770509,210
18,R,462.2,404.4,520,115.6,0.001475552,180
19,S,554.7,485.3,624,138.7,0.001229493,110
20,T,665.6,582.4,748.8,166.4,0.001024639,100
21,U,798.7,698.9,898.5,199.7,0.000853888,90
