pixel,nu,nu_high,D_x,D_y,area
A,20.8,23.92,0.69,0.45,0.24386613
B,25,28.75,0.69,0.45,0.24386613
C,30,34.50,0.69,0.45,0.24386613
D,36,41.40,0.69,0.45,0.24386613
E,43.2,49.68,0.69,0.45,0.24386613
F,51.8,59.57,0.69,0.45,0.24386613
G,62.2,71.53,0.69,0.4238,0.229667702
H,74.6,85.79,0.69,0.388,0.210266796
I,89.6,103.04,0.69,0.3524,0.190974276
J,107.5,123.63,0.69,0.3223,0.174662341
K,129,148.35,0.6757,0.295,0.156554594
L,154.8,178.02,0.5741,0.2682,0.120930598
M,185.8,213.67,0.4779,0.2435,0.091395724
N,222.9,256.34,0.4005,0.2211,0.069547439
O,267.5,307.63,0.3299,0.1986,0.051457827
P,321,369.15,0.2725,0.1768,0.037838913
Q,385.2,442.98,0.225,0.1535,0.027125689
R,462.2,531.53,0.1845,0.126,0.018258151
S,554.7,637.91,0.1515,0.0961,0.01143473
T,665.6,765.44,0.124,0.0721,0.007021774
U,798.7,918.51,0.0999,0.0557,0.004370293
