pixel,nu,nu_high,D_x,D_y,area
A,43.2,48.6,0.554,0.469,0.2040668632
B,43.2,48.6,0.554,0.469,0.2040668632
C,43.2,48.6,0.554,0.469,0.2040668632
D,51.8,58.3,0.554,0.423,0.1840517764
E,51.8,58.3,0.554,0.423,0.1840517764
F,51.8,58.3,0.554,0.423,0.1840517764
G,129,145.1,0.399,0.265,0.0830440748
H,129,145.1,0.399,0.265,0.0830440748
I,129,145.1,0.399,0.265,0.0830440748
J,154.8,174.1,0.359,0.243,0.0685157796
K,154.8,174.1,0.359,0.243,0.0685157796
L,154.8,174.1,0.359,0.243,0.0685157796
M,385.2,433.3,0.206,0.158,0.0255631394
N,385.2,433.3,0.206,0.158,0.0255631394
O,385.2,433.3,0.206,0.158,0.0255631394
P,462.2,520,0.179,0.145,0.0203850093
Q,462.2,520,0.179,0.145,0.0203850093
R,462.2,520,0.179,0.145,0.0203850093
U,798.7,898.5,0.107,0.11,0.0092441364
